date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:44:02	194670/194670	---M--	200	added ('OK')	image/jpeg	date:Sun,%2029%20Dec%202019%2014:28:08%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/slider-2.jpg	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/slider-2.jpg	(from https://raistheme.com/html/edustdy/edustdy/index-2.html)
14:44:02	453858/453858	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Jan%202020%2015:08:48%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/countdown_bg.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/countdown_bg.png	(from https://raistheme.com/html/edustdy/edustdy/assets/css/style.css)
14:44:02	2257/2257	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Dec%202019%2014:49:14%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/call-2.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/call-2.png	(from https://raistheme.com/html/edustdy/edustdy/index-2.html)
14:44:02	2623/2623	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Dec%202019%2017:33:54%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/call-3.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/call-3.png	(from https://raistheme.com/html/edustdy/edustdy/index-2.html)
14:44:03	1618/1618	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Dec%202019%2020:05:48%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/clock.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/clock.png	(from https://raistheme.com/html/edustdy/edustdy/index-2.html)
14:44:03	2055/2055	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Dec%202019%2020:06:10%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/location.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/location.png	(from https://raistheme.com/html/edustdy/edustdy/index-2.html)
14:44:03	1689/1689	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Dec%202019%2015:45:58%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/f-icon-4.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/f-icon-4.png	(from https://raistheme.com/html/edustdy/edustdy/index-2.html)
14:44:04	1818/1818	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Dec%202019%2015:46:24%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/f-icon-5.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/f-icon-5.png	(from https://raistheme.com/html/edustdy/edustdy/index-2.html)
14:44:04	2388/2388	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Dec%202019%2016:03:28%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/f-icon-6.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/f-icon-6.png	(from https://raistheme.com/html/edustdy/edustdy/index-2.html)
14:44:04	2092/2092	---M--	200	added ('OK')	image/png	date:Mon,%2030%20Dec%202019%2016:03:54%20GMT	https://raistheme.com/html/edustdy/edustdy/assets/images/f-icon-7.png	C:/My%20Web%20Sites/Edusdty/raistheme.com/html/edustdy/edustdy/assets/images/f-icon-7.png	(from https://raistheme.com/html/edustdy/edustdy/index-2.html)
